Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
0;0;69982.09918646971;69982.09918646971;69953.69107284574;69963.5373177425;0.5;1.0
1;0;69989.66414367832;69989.66414367832;69954.33229018503;69962.85511678694;0.491741160625505;1.0056956716362764
2;0;69989.66414367832;69989.23276678784;69953.49313616827;69960.37639270362;0.48449541380512723;1.0068277125116512
3;0;70004.02035482154;70004.02035482154;69952.21172982772;69969.31708791062;0.4780092992547107;1.007455364603036
4;0;70004.02035482154;69999.10429760485;69951.26476760255;69966.36567211145;0.4721542839912779;1.007702809188626
5;0;70004.02035482154;70002.0519680759;69953.936174279;69972.8929800827;0.4669277326205557;1.0084906409030645
6;0;70004.02035482154;70003.46362857978;69951.40226025927;69970.37294391509;0.462028181690798;1.0090593167056983
7;0;70004.02035482154;70003.15376866705;69952.07659253778;69970.62121238506;0.45766867268114675;1.0098692693585165
8;0;70004.02035482154;70001.37556842662;69952.60350070088;69974.37015693577;0.45376085422074297;1.0106514419635448
9;0;70005.55505855414;70005.55505855414;69950.22753651417;69982.68656264908;0.4501999322620301;1.0115263042237375
10;0;70005.80064061805;70005.80064061805;69953.41915965665;69986.84265050878;0.44692304986876635;1.0125029476548693
11;0;70008.55590656513;70008.55590656513;69961.98386981596;69989.81372141126;0.44374945510119745;1.0135062473346528
12;0;70008.55590656513;70007.79195980066;69959.0394117617;69991.786781176;0.440751391079232;1.0146532238826873
13;0;70008.55590656513;70008.52702183042;69955.68852161845;69994.3015199117;0.4380315725562234;1.0159749456893767
14;0;70008.55590656513;70008.3520159381;69957.45066449067;69991.8440307867;0.4355005549981463;1.017270714816894
15;0;70008.55590656513;70006.73073372428;69956.0100739293;69986.2615583724;0.43290216715696656;1.0186103200590677
16;0;70008.55590656513;70008.3207839806;69953.53366017542;69993.73422820013;0.4305936987520782;1.0200654318943174
17;0;70008.55590656513;70008.0924522443;69956.53008871418;69994.23810369686;0.42856443141299716;1.0215431402173794
18;0;70008.89639350708;70008.89639350708;69967.40555090838;69995.6732454488;0.4265748278976711;1.0231334373169712
