Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
0;0;69998.54833171298;69998.54833171298;59999.93929572423;69160.70335393635;0.5;1.0
1;0;69998.54833171298;69993.62925083516;69992.92754513015;69993.25199629877;0.44270927848054475;1.05148373763512
2;0;69999.248645202;69999.248645202;69992.37789630219;69993.61694558225;0.387323105742124;1.079172280231905
3;0;70000.63271406064;70000.63271406064;69993.04704506241;69994.0288803634;0.34574210005654626;1.0851946919871598
4;0;70000.63271406064;70000.18203355712;69993.05835112979;69994.25652299827;0.3022302292336776;1.0987658580385862
5;0;70000.63271406064;69999.60155069057;69992.74741311351;69995.95436046323;0.2787811665450441;1.1301332218909745
6;0;70000.63271406064;69993.6660601368;69990.7533424348;69992.93955726408;0.2603251506833351;1.1542797727772418
7;0;70000.63271406064;69993.36237728476;69992.02522268107;69993.10033115307;0.24425495853206813;1.1796447023991221
8;0;70000.63271406064;69999.08810855336;69992.64187888263;69993.8912342941;0.22741734556596535;1.2314945843442326
9;0;70000.63271406064;69998.55076580853;69992.16045504538;69993.59279190896;0.2167295583973263;1.236733565162966
10;0;70000.63271406064;69998.89372752444;60000.12062467792;69161.67280068753;0.19920470721142444;1.2943646346673356
11;0;70000.63271406064;69999.74390305625;69993.29527067623;69995.1541086399;0.1892397100392858;1.3098090561255342
12;0;70000.63271406064;69999.35621156145;69991.88345665912;69994.93837370841;0.1797191224427766;1.3236936249097824
13;0;70000.63271406064;69999.74313505231;69991.44672041727;69994.37366333212;0.16698458375078878;1.3631010864512716
14;0;70000.63271406064;69995.32829596158;59999.733324374385;69160.27847542243;0.15631912725115488;1.3756285725724446
15;0;70000.63271406064;69999.8761537736;59999.83379420207;69161.02529280918;0.15570888591713222;1.4575286662113558
16;0;70000.63271406064;69999.46178497559;59999.69150163351;68329.61397108705;0.1452749840237101;1.513612179367179
17;0;70000.63271406064;70000.5669680035;59999.81501176591;68329.66586388434;0.14071007835036242;1.5168338008990472
18;0;70000.63271406064;69999.69937455255;69993.07748297512;69995.3554918204;0.13649151287865313;1.5419906474158995
19;0;70000.63271406064;69998.57463654148;69990.84027418766;69993.70434046684;0.1322207494581042;1.6016689777325013
20;0;70000.63271406064;69999.0854938075;69990.66792727495;69993.51241095246;0.12921344711234461;1.618256007271338
21;0;70000.63271406064;69998.92931045739;69991.99404098492;69994.4493676778;0.12166267233535265;1.6623082457364877
22;0;70000.63271406064;69994.6307470116;0.0;63327.922772319354;0.11867577624409277;1.6981564965139242
23;0;70000.63271406064;69998.386615063;69992.97463489827;69993.98581906322;0.11354042348371095;1.7181497568552109
24;0;70000.63271406064;69999.85572568761;69991.55730522887;69994.23985582768;0.1094311692163947;1.719728714167702
25;0;70000.63271406064;69999.31914055867;69992.34301691502;69993.6379391723;0.10971975124983835;1.803228437913143
26;0;70000.63271406064;69999.54070841426;69993.07240813444;69994.74185471189;0.10858672418901615;1.8913133607583863
27;0;70000.63271406064;69999.2445084959;69993.06839413449;69995.13754064012;0.10974899362840594;1.9313133598477992
28;0;70000.63271406064;69999.41534417278;60000.15253897655;69161.71542215362;0.10936390930365861;1.9469692860560912
29;0;70000.63271406064;69999.6238498596;69992.99978202533;69994.74503172304;0.10772628693122985;2.0677786814832806
30;0;70000.63271406064;69999.24540285507;59999.64638964904;68329.05594428406;0.10744362826595745;2.118069468719437
31;0;70000.63271406064;69999.68704224001;69991.73034492275;69994.46001960963;0.11014741014432346;2.1576919709681603
32;0;70000.63271406064;69998.81131810664;69990.62528749486;69993.31095268585;0.10916791920344088;2.1656071394822196
33;0;70000.63271406064;69999.48448990728;69991.2467949418;69994.50482033302;0.10887778693645703;2.1578096441476164
34;0;70000.63271406064;69999.68013919189;59999.89733698621;68329.32759245117;0.11031943882504719;2.1213157743649345
35;0;70000.63271406064;69998.84548863799;59999.84555146622;69161.6060457137;0.11106093454937935;2.13196434073066
36;0;70000.63271406064;69999.89834094387;59999.946905895275;69161.97698842119;0.11417463057292045;2.234834521192293
37;0;70000.63271406064;69999.85736775785;69991.61243467055;69996.49724556723;0.11665232635335775;2.2843310771580128
38;0;70000.63271406064;69998.95560433781;69992.58262195082;69995.40992548075;0.11748243471836574;2.3133895351487044
39;0;70000.63271406064;69999.65206097873;69991.2528194674;69995.28061991962;0.1166821545056101;2.3914365209941755
40;0;70000.63271406064;69999.57305936604;59999.89702340939;69164.74572950987;0.12137552895155142;2.396721089288408
41;0;70000.63271406064;69999.65103641023;60000.138540951695;69164.58898229561;0.12199009976997256;2.4522425480768186
42;0;70000.63271406064;70000.12714917306;59999.91427094371;69164.63267405752;0.12402793933742151;2.6490259832322365
43;0;70000.63271406064;69999.97017284311;60000.1194641192;69160.97500459258;0.1267310942117334;2.746882236208739
44;0;70000.63271406064;69999.88333636438;69990.58170467874;69994.61152283303;0.1308054880721005;2.796841201713238
45;0;70000.63271406064;69999.2687802891;59999.97074784922;69161.06513286901;0.1331474482780894;2.8702860003089254
46;0;70000.63271406064;69993.28017856831;59999.83055318048;67494.60003719092;0.12578982267151817;2.894368918257929
47;0;70000.63271406064;69999.70832324676;69992.76925939003;69994.8450955559;0.1293617531468625;2.962809142524129
48;0;70000.63271406064;69999.6931612592;69992.0399615728;69994.93324745282;0.12736934283052542;2.9412326549587866
49;0;70000.63271406064;69999.54347161349;59999.82210255384;69161.01590689842;0.12616880195028016;2.918155440100616
50;0;70000.63271406064;69999.25768062151;69991.27799950745;69994.13662151534;0.12302069109535815;2.9572442959442036
51;0;70000.63271406064;69999.55890071133;59999.88980615758;68329.0284123386;0.11819250082101755;3.0084662420648436
52;0;70000.63271406064;69994.37242317885;69990.61691971791;69992.6119699517;0.11607132692428189;3.020919761082392
53;0;70000.63271406064;69998.94895622555;69990.59777707688;69994.13668406113;0.11651817090526123;3.0885585739762322
54;0;70000.63271406064;70000.56568013597;69990.69475604777;69995.94882311554;0.11539703127168233;3.102309421955723
55;0;70000.63271406064;69999.71416802541;69990.62854783796;69996.21431925565;0.11121643369037058;3.124552867683539
56;0;70000.63271406064;69999.6971042947;69991.60879334655;69994.76125383122;0.10536500049585228;3.128493811518602
57;0;70000.63271406064;69999.68606591738;60000.091300893786;69163.40936607704;0.10336572271949336;3.1167764765962174
58;0;70000.63271406064;69999.9100140481;69991.1467788619;69997.62453901488;0.10452856663617992;3.1303843743151294
59;0;70000.63271406064;69999.80484658884;69992.87831567571;69995.3265509685;0.10008676636323441;3.172202310130514
60;0;70000.63271406064;70000.04798812399;59999.78588841169;69162.24433237218;0.0977472934557558;3.16878179570466
61;0;70000.63271406064;69999.8628062755;69990.98262845998;69996.83372628059;0.0899912542259021;3.1292426514033487
62;0;70000.63271406064;69999.98055597293;0.0;60832.78786884105;0.08570940899751486;3.1068817333343537
63;0;70000.63271406064;69999.90527767336;59999.594588890905;66666.04791116076;0.08522322392394183;3.175975148733622
64;0;70000.63271406064;69999.84480259742;59999.90116683565;68331.2961349702;0.08359514462844124;3.2343635033109543
65;0;70000.63271406064;69999.79910389037;59999.60688399072;67499.5510550851;0.08103493625615141;3.2726071219918493
66;0;70000.63271406064;69999.99388187352;59999.76909456212;67499.44925660265;0.08107920111773062;3.2638347115595283
67;0;70000.63271406064;69999.71972620144;59999.61762700981;69164.03634915268;0.08102360267573915;3.333774755295727
68;0;70000.63271406064;69999.86395577561;59999.81270073137;65832.09306618244;0.0796821149252298;3.3655495496526457
69;0;70000.63271406064;69999.83344738682;59999.77899960005;68332.92682361815;0.0759696500813016;3.405527296598506
70;0;70000.63271406064;69999.89940008523;59999.731515109226;68331.3336896079;0.07298786002905489;3.407670564050899
71;0;70000.63271406064;69999.71804125034;59999.53208647574;67497.89223286888;0.06905524190490143;3.4956791393858575
72;0;70000.63271406064;69999.8726876848;59999.87489587243;68332.92779543322;0.0671684647352588;3.4743320387793353
73;0;70000.63271406064;69999.92692833797;59999.83865052202;67499.21823382516;0.06413337363403843;3.3948693507917986
74;0;70000.63271406064;69999.89970702316;59999.74046241159;67499.68496426482;0.0630417231481557;3.3382322877502184
75;0;70000.63271406064;69999.881642441;59999.835119130104;66666.33309426701;0.062065857739725165;3.372742154147644
76;0;70000.63271406064;69999.97177763676;59999.58224685886;65833.05064820059;0.05706198599860769;3.4200894198894662
77;0;70000.63271406064;69999.65299855582;59999.604737314374;67499.47195826535;0.05294046686010537;3.3566026946761096
78;0;70000.63271406064;69999.81401081022;59999.84159836455;67499.6889185956;0.05056232301702284;3.365561710950591
79;0;70000.63271406064;69999.85510009344;59999.91340445252;67499.59177071466;0.04633021871357957;3.4260303388462234
80;0;70000.63271406064;69999.86055112304;59999.87192680525;66666.30162388917;0.044765090274000205;3.4434845838677397
81;0;70000.63271406064;69999.91782863291;59999.80848218386;65833.09134528095;0.04270178950407174;3.595081054789315
82;0;70000.63271406064;69999.8083367567;59999.922810253905;69166.33430423452;0.04149691754180845;3.571276388004783
83;0;70000.63271406064;69999.87802613546;59999.800941985435;64999.80114967004;0.040826658611026946;3.5853738371602106
84;0;70000.63271406064;69999.79831871629;59999.90885243408;69166.36116723318;0.04060694812788501;3.6210353840769893
85;0;70000.63271406064;69999.98020561485;59999.86944055483;67499.76020763697;0.03981005558321046;3.608453810776689
86;0;70000.63271406064;69999.96247570324;59999.88827482947;69166.2097667022;0.039111750678505905;3.58219146021513
87;0;70000.63271406064;69999.97797223381;59999.83675382638;68332.50934124205;0.039802084594465346;3.653025026153301
88;0;70000.63271406064;69999.8864923254;59999.628832417344;67499.78784042835;0.03847274666180507;3.672737977528501
89;0;70000.63271406064;69999.81493951159;59999.70343964207;67499.11958742185;0.038874274907645064;3.7399236214312332
90;0;70000.63271406064;69999.99513034573;59999.87680042619;67499.77743389127;0.03902425222468688;3.744943711375458
91;0;70000.63271406064;69999.8389335692;59999.81018773909;64999.796615873194;0.03833544642109833;3.7187168773459414
92;0;70000.63271406064;69999.88223079973;59999.56322734114;65832.98084143088;0.038796028244253114;3.6972834072070997
93;0;70000.63271406064;69999.85459580558;59999.85012726289;66666.43279483223;0.038621837305818814;3.7233613174293576
94;0;70000.63271406064;69999.8679647448;59999.86391085909;67499.76033152446;0.036094067117276966;3.6570355128515524
95;0;70000.63271406064;69999.83182061175;59999.74424154959;65833.04274128783;0.034384199564435405;3.4821822767317716
96;0;70000.63271406064;69999.94259171284;59999.824354995704;66666.51064500822;0.033975836429017525;3.404532616503731
97;0;70000.63271406064;69999.88640422246;59999.8415949261;66666.45858736431;0.03391454845568888;3.323921890669228
98;0;70000.63271406064;70000.00436413896;59999.842857495845;66666.43480090474;0.031984929897911664;3.3409286992515046
99;0;70000.63271406064;69999.97315007386;59999.700120770234;66666.37882196903;0.03139661997082581;3.3633473077226834
100;0;70000.63271406064;69999.87810108559;59999.632776328086;64166.37525111579;0.030236588553609188;3.334970037095167
101;0;70000.63271406064;69999.9634280275;59999.67110741491;65833.10869330865;0.02864135115552965;3.3375764848033427
102;0;70000.63271406064;70000.03908700417;59999.718205299054;64166.43667844115;0.027140542545427148;3.356826119571039
103;0;70000.63271406064;69999.88181692532;59999.569498264595;66666.23993079613;0.026650900600896213;3.4581746694892597
104;0;70000.63271406064;70000.05080397299;59999.87396121393;65833.1360705834;0.025358712600682107;3.529842392192017
105;0;70000.63271406064;69999.96456571016;59999.90853556986;69166.47292708993;0.024600093476428955;3.663451357476187
106;0;70000.63271406064;69999.95066411943;59999.817942956615;68333.13273976588;0.024413456248391644;3.6135318492554807
107;0;70000.63271406064;69999.90703149182;59999.8721182981;68333.06377658574;0.02406255664914467;3.766105568619987
108;0;70000.63271406064;69999.86043426671;59999.88609060608;67499.75053876791;0.02325970348924912;3.873585095771815
109;0;70000.63271406064;69999.95781327754;59999.706887493805;66666.44578485949;0.022470970423868315;3.987753441432974
110;0;70000.63271406064;69999.89317820896;59999.82587195125;67499.75489660732;0.02285921107527347;3.9737013850893055
111;0;70000.63271406064;69999.98242456603;59999.742622817306;64999.804362625466;0.02253586012504834;3.974791525180746
112;0;70000.63271406064;69999.96961920225;59999.79515956907;67499.75671932014;0.021053404900914178;3.896080529252738
113;0;70000.63271406064;69999.8457171977;59999.666552032904;66666.42969450845;0.020521721953202045;3.8723974272762836
114;0;70000.63271406064;69999.8184724647;59999.87034103209;64999.79964068043;0.02008412236754546;3.8786758626546725
115;0;70000.63271406064;69999.89781422475;59999.838066435535;64999.81797111276;0.019581416474158703;3.935767080665464
116;0;70000.63271406064;69999.97260763992;59999.76615790251;68333.13413384641;0.0192410285385082;3.959685257513679
117;0;70000.63271406064;69999.95307120241;59999.846327041545;67499.78749231806;0.019262569968698486;4.00546364434942
118;0;70000.63271406064;69999.91735897119;59999.8700432336;67499.76856376028;0.019420600255814265;4.303935918627795
119;0;70000.63271406064;69999.88987579601;59999.863630822845;67499.72920729457;0.020357624805351072;4.445271221466005
120;0;70000.63271406064;70000.04988357783;59999.78227040792;67499.77802484106;0.02094111575969259;4.472511028978875
121;0;70000.63271406064;69999.98560999677;59999.798228806336;67499.77759741317;0.020812397520577522;4.526445724682778
122;0;70000.63271406064;69999.81817032138;69999.10967885607;69999.63294970083;0.020862286917097416;4.4837772007912795
