Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
0;0;687.0218371925175;687.0218371925175;655.4081716008502;662.4761855372268;0.5;1.0
1;0;687.0218371925175;674.1386115849191;656.7287456440072;662.9938264887232;0.492276432731618;1.005543875895666
2;0;687.0218371925175;684.9022597104399;654.9173716711032;664.1493579708366;0.4853429029384501;1.0059944852251494
3;0;697.0609575381471;697.0609575381471;656.7156213092514;665.6107923397377;0.47903910010832207;1.0065501034941575
4;0;700.237869052203;700.237869052203;656.5187300636919;667.6145982063604;0.4732983532776749;1.0066296997222315
5;0;700.237869052203;692.5567397770704;654.7171693367834;668.6196100395384;0.4681912641150931;1.0068539107188843
6;0;702.865447574032;702.865447574032;656.9910146693011;671.5062194395223;0.46356403288270764;1.0071779246423462
7;0;702.865447574032;697.1824515449567;658.1224836677696;670.390197697995;0.4592721636811581;1.00776086208755
8;0;705.7741032603478;705.7741032603478;659.5206856227862;676.4350773020192;0.4552689880300815;1.0082611491399278
9;0;705.7741032603478;704.2746143057869;660.1569103644637;677.1272075897588;0.45131632467255917;1.008807342218397
10;0;705.7741032603478;704.9017484643425;658.2280900173103;682.6133654472885;0.44750361228333746;1.009287382096232
11;0;705.9719487891906;705.9719487891906;661.0515563810338;691.6911990720379;0.4440602278755856;1.0099947493631096
12;0;706.3032294551983;706.3032294551983;658.9782925091292;688.2517970434762;0.4406671673429207;1.0106925019315038
13;0;706.3032294551983;705.9633504178745;671.4462566983943;697.0245138165463;0.4375621659040767;1.011506311076402
14;0;707.4314548430168;707.4314548430168;664.0360224143486;693.2566667598879;0.4347105419204067;1.0124368431614819
15;0;707.4314548430168;707.1760990985864;677.570480924105;696.3385089725356;0.4319956851976025;1.0134233869735931
16;0;707.4314548430168;707.1591532531367;665.8133279309956;696.0409435700778;0.42959372775223437;1.0145442170711514
17;0;707.4314548430168;707.3576115202656;683.507116658049;700.2290178186018;0.4273468027147715;1.0156456264075147
18;0;707.4314548430168;706.4756135603307;672.8026856990683;698.9346144782919;0.425236208334848;1.0168577671179808
19;0;707.4314548430168;706.5549671915253;690.2572028837152;702.1842849159485;0.42324842114369043;1.0181428082268489
20;0;707.5236252048854;707.5236252048854;687.0758433125901;701.736131905593;0.421361679617352;1.0194330916384209
21;0;708.4986590965939;708.4986590965939;671.7584664172381;698.0724951734193;0.41961268606320734;1.0208279771939637
22;0;708.4986590965939;706.8496190243366;671.9150978983736;698.2347883071633;0.4178826820828925;1.022218831225743
23;0;708.4986590965939;706.7393383271855;672.7509223628515;700.2423106250264;0.41634782925272845;1.0237816010886096
24;0;708.4986590965939;706.1252743489194;659.3439652029014;695.8467150506518;0.414820188705508;1.0253238883687477
25;0;708.4986590965939;707.1577913292215;668.6637328555196;697.4002013550573;0.41346317599011945;1.0269583968337062
26;0;708.4986590965939;708.233070976956;669.6127111304806;699.9687767073063;0.412411809556476;1.0288104010313517
27;0;708.4986590965939;708.1129241681565;673.3902042882211;699.0009364456216;0.41141495951756407;1.0305921959564197
28;0;708.4986590965939;708.1704252810836;673.7869144496951;701.0344724299664;0.41041963308826507;1.0324709228948574
29;0;708.4986590965939;707.7458947447744;678.37769363997;700.0951317232723;0.4095111356439605;1.0343694604821132
30;0;708.4986590965939;707.6901687520947;667.6191275397342;700.6918869727782;0.4087000271195834;1.0362783223783252
31;0;708.4986590965939;707.722474557276;676.6595180332005;702.7059394514883;0.4077848790478843;1.0382226275205135
32;0;708.7451453214126;708.7451453214126;674.3632661350786;702.1481217712919;0.40686568375458704;1.0401406213664606
33;0;708.7451453214126;708.0417437589551;670.0196334097466;699.6812365112559;0.40600671609685907;1.0421504192644035
34;0;708.7451453214126;708.1021193323901;691.5399966206277;704.7010275833417;0.4051049314968472;1.044085049405347
35;0;708.7451453214126;707.8379759018692;684.1440476305676;703.7906990178893;0.4042401085955239;1.0460825054548732
36;0;708.7451453214126;708.5788119021215;681.0429481392249;704.0955984340543;0.4033738602704238;1.0480645671006805
37;0;708.7451453214126;708.6550041374121;666.8527323345687;701.5962406987944;0.4025375156187976;1.0501200986034602
38;0;708.7451453214126;708.5374276802715;670.5703068106648;701.4157589580961;0.4017347534498416;1.052164302837227
39;0;709.0979952797758;709.0979952797758;674.5857758844438;700.6022106932078;0.400915311987107;1.0542212031634266
40;0;709.0979952797758;708.6443147739292;665.2248590632191;701.5799825098409;0.40020439559329923;1.056286617242724
