Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
0;0;691.124099903424;691.124099903424;653.4035033293898;667.4258464901483;0.5;1.0
1;0;702.1622325842817;702.1622325842817;653.3732084110381;670.1775984608608;0.4924427261546253;1.0054738182411929
2;0;702.1622325842817;690.0745002460876;652.976670804552;666.7843776358312;0.48571095592300584;1.0057005503728806
3;0;705.3063769430406;705.3142960803874;653.2983406822902;676.8162532320238;0.4795918475812035;1.006254386734495
4;0;705.3063769430406;700.1578802072311;652.9814060400595;669.4736459608534;0.47406404726316553;1.0066283511139071
5;0;705.3063769430406;703.9302397712356;652.7804607913685;671.2337851034686;0.46902418998697054;1.0073059699462772
6;0;705.3063769430406;702.9810465088874;652.960358185499;668.4391192635741;0.46428494232590495;1.007481985577594
7;0;705.3063769430406;700.0436305036252;652.3012628796957;667.2171238053719;0.45985876265980985;1.0079979672032924
8;0;708.3180188802347;708.3180188802347;653.1994172028283;678.2694184335629;0.4557171108623998;1.0084799123387347
9;0;708.3180188802347;707.2908949047604;652.874192788381;669.7731726885957;0.45189693386345126;1.009088081628218
10;0;708.3180188802347;707.2137031666151;653.0109944047057;677.6801650671484;0.448172344191516;1.0097017165556257
11;0;708.3180188802347;706.8874430663435;652.9606207342288;679.482028189788;0.44447738439744694;1.0104026449303314
12;0;708.3180188802347;708.050289879972;653.0257297717541;676.2230598684456;0.4409511467303125;1.010986826752462
13;0;708.3180188802347;704.5442728406663;652.9928467589855;674.2399988757844;0.43763407053096876;1.011636948173247
14;0;708.3180188802347;706.6008136376893;653.2647655837114;676.1301161521103;0.43444945174029387;1.0123044788382018
15;0;708.3180188802347;706.1762797389221;653.6969796995215;679.6128948493925;0.4315197128038371;1.0131865486812772
16;0;709.6767425787177;709.6767425787177;653.0150138898849;677.1950995129333;0.4286780558435477;1.0139821687123727
17;0;709.6767425787177;708.60006996173;655.8660537477208;686.1375326960567;0.42591661391261754;1.0147912816082547
18;0;709.6767425787177;709.3230289100842;653.7420721724218;686.5379282381356;0.4233822952879733;1.0157187949571034
19;0;709.6767425787177;708.6168546412684;653.1389082220708;696.2570979311142;0.42086431716981926;1.0166308272087552
20;0;710.1831248057352;710.1831248057352;654.2976927633749;688.0466607415647;0.41855902039150034;1.0177427255688272
21;0;710.1831248057352;708.9639361591941;659.6064705149627;696.3040623785209;0.4164426791480929;1.0189735045262798
22;0;710.1831248057352;710.1235464106296;655.8360304706232;693.8194048151839;0.41439119187660445;1.0201511753053643
23;0;710.4288308052109;710.4288308052109;653.5219658986117;695.5482427056941;0.41250622013318344;1.0214463063637098
24;0;710.4288308052109;709.6522348013211;654.7801502237822;694.0737231445794;0.41073489013201697;1.0228198138479851
25;0;711.248460488891;711.248460488891;657.9885511917846;699.0484008132634;0.4089930364151767;1.0242540242398466
26;0;711.8014846493563;711.8014846493563;654.6036277208137;698.6817109930761;0.4073709797429209;1.0257031009370021
27;0;711.8399162853295;711.8399162853295;653.4125981982019;701.5078066000864;0.4057206907502353;1.027174912294151
28;0;711.8399162853295;711.379267806705;661.7004516091907;699.2154655317626;0.40413520195538183;1.0286588251872133
29;0;712.3860621744836;712.3860621744836;653.1804753313344;695.4696569846581;0.40253297849435915;1.0301532738630361
30;0;712.3860621744836;711.4062297925245;653.4426530587846;697.1761633808616;0.4009923518824601;1.0316575598016497
31;0;712.3860621744836;711.5056645395085;666.9119998629434;701.8300688943325;0.39941560313346675;1.0331266091942701
32;0;712.3860621744836;711.0312469366052;660.6277675080631;701.0592576254883;0.3979870568874258;1.0346599459857844
33;0;712.3860621744836;711.8301633203944;660.650893371046;703.5751541736856;0.3967339476794831;1.0362121963599447
34;0;712.3860621744836;712.2447024829384;700.334507962001;707.9434704226207;0.39567965331335536;1.0379059030797029
35;0;712.3860621744836;711.7250542383242;655.043509452021;695.0151767109047;0.3946634621488024;1.039623181708437
