Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
0;0;50.75842546728141;50.75842546728141;-15.497373628226416;13.637722371385367;1.0;1.0
1;0;67.15821347346318;67.15821347346318;-11.529185116407863;16.411004999143863;0.9757134910194218;1.254605788488934
2;0;67.15821347346318;66.2392467525836;-29.937141603236352;16.439353855358902;0.9943986051499552;1.4300063196900512
3;0;74.57090884654401;74.57090884654401;16.528046075980804;38.33185395431056;1.0411553369407116;1.6694013644366852
4;0;74.57090884654401;72.88594936169608;-3.380170394411108;26.162746780983607;1.1232076734545773;1.9314797312043925
5;0;74.57090884654401;60.294972932859736;-12.786677934662174;13.48190487693396;1.204716963511292;2.027850042826635
6;0;78.56913424742405;78.56913424742405;-5.271922990185413;37.319477057591314;1.2039314640889298;2.1319319877859315
7;0;78.56913424742405;76.34700655969137;8.4265632963087;46.54563592774576;1.3158642923292665;2.332828048881702
8;0;78.56913424742405;72.4360375031398;-16.26968088898979;37.08748050703811;1.3259558265161921;2.3988622658178516
9;0;98.24469337053286;98.24469337053286;10.387959511501995;47.67330729652158;1.2899506795586038;2.5264529462094387
10;0;98.24469337053286;64.59509422791929;14.049350389547373;38.35278074261226;1.1552977807890943;2.569697463839168
11;0;98.24469337053286;64.50255941732748;13.069498660578853;41.27546730797781;1.0827252300290597;2.7820177028004722
12;0;98.24469337053286;97.94056812231204;-10.052743614686396;51.35184764730248;1.0610735325417442;2.7660642647397298
13;0;98.24469337053286;81.50236270938942;-0.053304423734903406;41.53060051695416;1.0992730729995033;2.808025856632447
14;0;98.24469337053286;78.32198782279576;6.359299264256478;39.23327675329775;1.1221927916670247;2.869053740922642
15;0;98.24469337053286;76.57161491029335;3.4333412047764575;40.317067567837704;1.111639847082427;2.9725739531049618
16;0;98.24469337053286;64.50337690584263;-17.090104934830958;38.302319368412306;1.092541062395051;3.085652560809085
17;0;98.24469337053286;74.48735342891791;0.037243046275238445;40.78759108277555;1.094518607698981;3.1931481919870723
18;0;98.24469337053286;84.1018566022221;13.643106631626335;49.677796187860075;1.0670833985742623;3.253347921029082
